# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	11992
#@/user_id	Family-Windows11
a 	啊	c=124 d=2.86226 t=11992
ban le 	辦了	c=1 d=1 t=1045
ban lou ceng 	班樓層	c=1 d=1 t=7924
ban mao qian guan xi ba 	半毛錢關係吧	c=1 d=1 t=10177
ban tian 	半天	c=0 d=0.1 t=9805
bang mang 	幫忙	c=2 d=1.21762 t=3635
bang wo 	幫我	c=0 d=0.1 t=4572
bang zhu 	幫助	c=2 d=1.8311 t=1698
bao 	包	c=10 d=1.051 t=8977
bao 	報	c=6 d=1.00041 t=8271
bao chi yi zhi 	保持一致	c=1 d=1 t=6568
bao cu 	報錯	c=1 d=0.0158435 t=11992
bao cun 	保存	c=3 d=1.15569 t=2965
bao cuo 	報錯	c=2 d=1.54064 t=8597
bao de 	报的	c=1 d=1 t=11424
bao hong 	報紅	c=1 d=1 t=411
bao hong se 	報紅色	c=1 d=1 t=287
bao jiao 	包腳	c=1 d=1 t=6321
bao jun 	報峻	c=17 d=1.19747 t=11559
bao le 	報了	c=1 d=1 t=7306
bao li 	保利	c=1 d=1 t=11238
bao li 	暴力	c=2 d=1 t=10433
bao liu 	保留	c=0 d=0.1 t=9286
bao ming 	報名	c=0 d=0.1 t=6336
bao ming 	報命	c=1 d=1 t=6019
bao ming ma 	報名嗎	c=1 d=1 t=6337
bao qi lai 	包起來	c=1 d=1 t=2289
bao xian 	保險	c=1 d=1 t=2861
bao xiao 	報銷	c=1 d=0.518952 t=8333
bei 	唄	c=35 d=0.273397 t=11992
bei 	被	c=5 d=1 t=10621
bei bei 	北碚	c=1 d=0.574072 t=11992
bei bian 	北邊	c=2 d=1.6157 t=5829
bei dui bei 	背对背	c=1 d=1 t=11302
bei fa xian 	被发现	c=0 d=0.1 t=11735
bei fen 	備份	c=3 d=1 t=5289
bei jian 	焙煎	c=1 d=1 t=5483
bei jing 	北京	c=4 d=1.99501 t=9593
bei ni 	背逆	c=1 d=1 t=11803
bei ni 	被你	c=1 d=1 t=11804
bei qu xiao 	唄取消	c=1 d=1 t=7308
bei shang 	北上	c=0 d=0.1 t=2537
bei shang guang 	北上廣	c=2 d=1.01364 t=3397
bei ying 	背影	c=1 d=1 t=663
bei yong ji 	備用機	c=1 d=1 t=8397
bei zi 	被子	c=1 d=1 t=11308
ben 	奔	c=2 d=1.98511 t=7173
ben di 	本地	c=0 d=0.1 t=8898
ben lai 	本來	c=7 d=0.638333 t=11992
ben lai jiu shi 	本來就是	c=1 d=0.218712 t=11992
ben shi 	本事	c=0 d=0.1 t=3416
bi 	比	c=4 d=0.100058 t=10379
bi bu guo 	比不過	c=1 d=1 t=10236
bi de 	逼得	c=0 d=0.1 t=3912
bi de wo 	逼得我	c=1 d=1 t=3913
bi he 	筆盒	c=1 d=1 t=6359
bi ji 	筆記	c=1 d=1 t=4601
bi ji ben 	筆記本	c=3 d=0.0182018 t=11992
bi jiao 	比較	c=6 d=0.404542 t=11992
bi jiao da 	比較大	c=0 d=0.1 t=915
bi jiao gui 	比較貴	c=1 d=1 t=4473
bi jiao man 	比較慢	c=1 d=1 t=4617
bi jiao wan 	比較晚	c=1 d=1 t=8889
bi lan zhou 	比蘭州	c=1 d=1 t=3411
bi ni 	比你	c=1 d=1 t=7045
bi sai 	比賽	c=3 d=1.00008 t=10701
bi ta 	比他	c=0 d=0.1 t=5576
bi ta na ge hao 	比他那個好	c=1 d=1 t=5577
bi wo 	比我	c=2 d=1.98511 t=4446
bi ye 	畢業	c=1 d=1.06561 t=7060
bi ye de 	畢業的	c=1 d=1 t=7061
bi yu 	比喻	c=1 d=1 t=3124
bi zhe ge 	比這個	c=1 d=1 t=10380
bian 	便	c=0 d=0.1 t=2776
bian 	變	c=0 d=0.1 t=6464
bian 	邊	c=1 d=0.1 t=7517
bian ji 	編輯	c=1 d=1 t=2260
bian ji qi 	編輯器	c=2 d=1.40454 t=9409
bian liang 	變量	c=4 d=1.30194 t=1815
bian ma 	編碼	c=7 d=1.50045 t=8035
bian xie 	編寫	c=2 d=1.99005 t=2068
bian zhi 	編址	c=0 d=0.00131019 t=11992
bian zhi nei rong 	編址內容	c=1 d=0.0131676 t=11992
biao 	表	c=8 d=1.05999 t=11952
biao da shi 	表達式	c=2 d=1 t=7395
biao dan 	表單	c=2 d=1 t=8472
biao ji 	標記	c=1 d=1 t=2
biao ji cheng 	表即成	c=1 d=1 t=1
biao jie gou 	表結構	c=2 d=1 t=11585
biao li 	表裏	c=1 d=1 t=3213
biao mei 	表妹	c=0 d=0.00206509 t=11992
biao qian 	標籤	c=2 d=1.00517 t=4833
biao qing 	膘情	c=1 d=1 t=1272
biao qing 	表情	c=2 d=1 t=4165
biao shi 	標識	c=5 d=1.01751 t=8666
biao shi 	表示	c=1 d=1 t=4444
biao ti 	標題	c=3 d=2.70533 t=2370
bie 	別	c=2 d=0.306312 t=11992
bie chui 	別吹	c=0 d=0.1 t=3650
bie chui niu pi 	別吹牛皮	c=1 d=1 t=3651
bie huang 	別慌	c=2 d=1.0305 t=9430
bie huang 	別荒	c=1 d=1 t=7041
bie jia 	別加	c=1 d=1 t=11544
bie ming 	別名	c=1 d=1 t=4904
bie rang 	別讓	c=1 d=1 t=6062
bie ren 	別人	c=9 d=1 t=10458
bie ren ba 	別人把	c=1 d=1 t=2743
bie shan 	別山	c=1 d=1 t=2815
bie shui le 	別睡了	c=1 d=1 t=583
bie ti le 	別提了	c=1 d=1 t=6808
bie xiang 	別想	c=1 d=0.188247 t=11992
bie zai 	別在	c=1 d=1 t=6153
bie zhao ji 	別着急	c=1 d=0.1 t=9633
bing fa kong zhi 	併發控制	c=1 d=0.0141223 t=11992
bing qie 	並且	c=3 d=1.68729 t=7878
bing si hu xiu 	冰絲護袖	c=1 d=1 t=6302
bo hui 	駁回	c=3 d=1 t=8612
bo hui le mei 	駁回了沒	c=1 d=1 t=5364
bo ke 	博客	c=4 d=3.02414 t=4510
bu 	不	c=15 d=0.368558 t=11992
bu 	步	c=4 d=1.18905 t=7752
bu 	補	c=1 d=0.209814 t=11992
bu ai 	不愛	c=1 d=0.113608 t=11992
bu bang wo 	不幫我	c=1 d=1 t=4573
bu bu cuo 	步步錯	c=1 d=1 t=3510
bu chang 	補償	c=1 d=1 t=5661
bu chi 	不喫	c=2 d=1 t=8928
bu chi fan 	不吃飯	c=1 d=1 t=4535
bu chong 	補充	c=2 d=1.00003 t=4868
bu chou 	不愁	c=1 d=1 t=3389
bu chu chai 	不出差	c=1 d=1 t=4311
bu chu lai 	不出來	c=0 d=0.100282 t=3070
bu cuo 	不錯	c=1 d=0.0300467 t=11992
bu da 	不大	c=1 d=0.1 t=7625
bu dao 	不到	c=3 d=1.00281 t=11607
bu de 	不得	c=0 d=0.1 t=2107
bu de xing 	不得行	c=1 d=1 t=2108
bu de yi 	不得已	c=1 d=1 t=1914
bu di yu 	不低於	c=1 d=1 t=10572
bu dong 	不動	c=1 d=1 t=10658
bu dui 	不對	c=1 d=0.101519 t=11069
bu dui de 	不對的	c=1 d=1 t=11070
bu duo 	不多	c=3 d=1 t=10564
bu fang 	不放	c=1 d=1 t=9845
bu fen 	部分	c=2 d=0.341777 t=10101
bu fu 	不服	c=1 d=1 t=4440
bu gai 	不該	c=1 d=1 t=4423
bu gan 	不敢	c=2 d=0.100039 t=5774
bu gan dong 	不敢動	c=1 d=1 t=11593
bu gan ma 	不乾嗎	c=1 d=1 t=6173
bu gao 	不搞	c=0 d=0.1 t=1784
bu gao ge 	不搞個	c=1 d=1 t=1785
bu gei 	不給	c=0 d=0.1 t=4670
bu gei wo shuo 	不給我說	c=1 d=1 t=4671
bu gou 	不夠	c=2 d=1 t=6564
bu guai ni 	不怪你	c=1 d=0.133988 t=11992
bu guan 	不管	c=3 d=1.00001 t=10933
bu guo 	不過	c=4 d=0.546075 t=11992
bu guo fen 	不過份	c=1 d=1 t=3797
bu guo hai hao 	不過還好	c=1 d=1 t=2603
bu guo qu 	不過去	c=0 d=0.1 t=4073
bu hao 	不好	c=1 d=0.310367 t=11992
bu hao gao 	不好搞	c=2 d=1.3588 t=6697
bu hao hao dai zhe 	不好好待着	c=1 d=1 t=11602
bu hao huan 	不好還	c=1 d=1 t=7131
bu hao kai 	不好開	c=1 d=1 t=8221
bu hao nong 	不好弄	c=1 d=1 t=6482
bu hao qing jia 	不好請假	c=1 d=1 t=5368
bu hao shuo 	不好說	c=3 d=0.106806 t=11636
bu hao yi si 	不好意思	c=1 d=1 t=2054
bu he 	不喝	c=1 d=1 t=4945
bu huang 	不慌	c=3 d=1.00167 t=7613
bu huang 	不黃	c=1 d=0.733447 t=11992
bu hui 	不回	c=1 d=0.0372539 t=11992
bu hui 	不會	c=3 d=1.00001 t=11278
bu jia 	不加	c=1 d=1 t=11547
bu jia ban 	步加班	c=1 d=1 t=7722
bu jiao 	不叫	c=1 d=0.771718 t=11992
bu jiao jie 	不叫姐	c=1 d=0.67368 t=11992
bu jiao ni 	不叫你	c=1 d=1 t=518
bu jiu shi 	不就是	c=1 d=1 t=7136
bu kao lv xia 	不考慮下	c=1 d=1 t=6501
bu kao pu 	不靠譜	c=1 d=1 t=4711
bu ke neng 	不可能	c=2 d=1 t=2957
bu kuai 	不快	c=1 d=1 t=4629
bu lai 	不來	c=1 d=0.1 t=11013
bu lai 	不賴	c=0 d=0.1 t=2373
bu leng 	不冷	c=1 d=1 t=11311
bu liao 	不了	c=2 d=0.117119 t=11447
bu mai 	不買	c=1 d=0.0533195 t=11992
bu man zu 	不滿足	c=1 d=1 t=8442
bu men 	部門	c=0 d=0.13539 t=7391
bu men bu yi yang ba 	部門不一樣吧	c=1 d=1 t=6758
bu men qing song 	部門輕鬆	c=1 d=1 t=6788
bu mian ye 	不眠夜	c=1 d=1 t=7379
bu neng 	不能	c=10 d=1 t=7523
bu neng wei kong 	不能爲空	c=1 d=1 t=2359
bu nian shu 	不唸書	c=1 d=1 t=5979
bu qu 	不去	c=6 d=0.100002 t=9752
bu ran 	不然	c=13 d=0.20089 t=11992
bu rang ren 	不讓人	c=0 d=0.1 t=4662
bu rang ren chi fan 	不讓人吃飯	c=1 d=1 t=4663
bu rang wo lai 	不讓我來	c=1 d=1 t=8870
bu ren shi 	不認識	c=2 d=1 t=3645
bu shang 	不上	c=1 d=1 t=5676
bu sheng xiao 	不生效	c=1 d=1 t=1063
bu shi 	不是	c=50 d=1.72352 t=11992
bu shi he 	不適合	c=0 d=0.1 t=3739
bu shi he wo 	不適合我	c=1 d=1 t=3740
bu shi ni 	不是你	c=0 d=0.1 t=2279
bu shi yi yang 	不是一樣	c=1 d=1 t=3239
bu shi zhe yang 	不是這樣	c=1 d=1 t=4322
bu shu 	部署	c=16 d=3.08812 t=11539
bu shu fu 	不舒服	c=2 d=1 t=4943
bu shu yu 	不屬於	c=1 d=1 t=9812
bu shui jiao 	不睡覺	c=0 d=0.1 t=10272
bu suan 	不酸	c=0 d=0.1 t=9200
bu suan le 	不酸了	c=1 d=1 t=9201
bu tai hao 	不太好	c=2 d=1.93239 t=10935
bu tie 	補帖	c=1 d=0.121845 t=11992
bu tong guo 	不通過	c=29 d=2.66017 t=7859
bu tuo 	不脫	c=0 d=0.1 t=2033
bu wan 	不晚	c=1 d=1 t=8876
bu xi guan 	不習慣	c=1 d=1 t=3516
bu xia 	不下	c=1 d=1 t=8911
bu xia lai 	補下來	c=0 d=0.1 t=3115
bu xiang 	不想	c=3 d=1.06448 t=10018
bu xiang ai 	不相愛	c=0 d=0.1 t=9463
bu xiang qu 	不想去	c=1 d=1 t=9750
bu xiang wo 	不想我	c=1 d=1 t=9180
bu xiao de 	不曉得	c=4 d=1 t=10037
bu xing 	不行	c=8 d=0.0889216 t=11992
bu xing le 	不行了	c=0 d=0.1 t=7797
bu xuan 	不選	c=0 d=0.1 t=175
bu yao 	不要	c=3 d=1 t=9115
bu yi 	不已	c=0 d=0.00437178 t=11992
bu yi ding 	不一定	c=1 d=1 t=560
bu yi yang 	不一樣	c=3 d=1.00001 t=9587
bu ying xiang 	不影響	c=1 d=1 t=1061
bu yong 	不用	c=4 d=1 t=11654
bu yong fa 	不用發	c=1 d=1 t=6254
bu yong guan 	不用管	c=0 d=0.1 t=200
bu yong lai 	不用來	c=1 d=1 t=8856
bu yong zhao 	不用找	c=1 d=1 t=350
bu yuan 	不遠	c=1 d=1 t=5699
bu yue 	不約	c=0 d=0.1 t=2854
bu za 	不雜	c=0 d=0.1 t=6028
bu za di 	不雜滴	c=1 d=1 t=6029
bu za yang 	不咋樣	c=1 d=1 t=845
bu zai 	不再	c=4 d=1.54951 t=9073
bu zao dian 	不早点	c=0 d=0.1 t=11806
bu zao shuo 	不早說	c=1 d=1 t=6269
bu zhan shi 	不展示	c=1 d=1 t=10975
bu zhao ji 	不着急	c=1 d=0.039955 t=11992
bu zhi chi 	不支持	c=2 d=1 t=9583
bu zhi dao 	不知道	c=18 d=1.33619 t=11860
bu zhi dao hai 	不知道还	c=0 d=0.1 t=11504
bu zhi dao hai ifconfig ao 	不知道还ifconfig奧	c=1 d=1 t=11505
bu zhi yu 	不至於	c=0 d=0.1 t=4954
bu zhong 	不重	c=1 d=1 t=4595
bu zi jia you le 	補自駕遊了	c=1 d=0.353455 t=11992
bu zuo 	不做	c=1 d=0.380983 t=11992
cai 	才	c=3 d=0.233637 t=11992
cai 	菜	c=2 d=1.00017 t=3387
cai dui 	纔對	c=1 d=1 t=10347
cai hao 	才好	c=1 d=1 t=11960
cai hui 	纔回	c=0 d=0.1 t=10078
cai hui wo 	纔回我	c=1 d=1 t=10079
cai kai shi 	纔開始	c=1 d=1 t=9656
cai lai 	纔來	c=1 d=0.565525 t=11992
cai mian shi 	才面試	c=1 d=1 t=5570
cai rang 	才讓	c=1 d=1 t=1047
cai shi 	才是	c=0 d=0.1 t=11619
cai shi ba 	才是吧	c=1 d=1 t=11426
cai shi wei le 	才是萎了	c=1 d=1 t=11620
cai suan 	纔算	c=1 d=1 t=5686
cai wu 	財務	c=1 d=1 t=2042
cai xing 	才行	c=1 d=0.0254765 t=11992
cai yuan 	裁員	c=1 d=1 t=10838
cai zhao 	才找	c=1 d=1 t=5556
cai zhi dao 	才知道	c=1 d=1 t=10169
cai zuo 	才做	c=1 d=1 t=10293
can 	慘	c=1 d=1 t=2125
can kao 	參考	c=0 d=0.00224829 t=11992
can kao mo xing 	參考模型	c=1 d=0.0225956 t=11992
can piao 	餐票	c=1 d=1 t=8280
can shu 	參數	c=10 d=1 t=10463
cao xin 	操心	c=1 d=0.164474 t=11992
cao zuo 	操作	c=9 d=0.331547 t=11992
cao zuo le 	操作了	c=1 d=1 t=5669
cao zuo xia 	操作下	c=1 d=1 t=7318
cao zuo yi xia 	操作一下	c=1 d=1 t=5668
cat 	cat	c=1 d=1 t=5622
ce 	測	c=3 d=1 t=11672
ce shi 	測試	c=8 d=1.09549 t=9384
ce shi yong li 	測試用例	c=1 d=1 t=10080
ce suo 	廁所	c=1 d=1 t=8731
ce xia 	側下	c=0 d=0.1 t=8536
ceng shu 	層數	c=1 d=1 t=10381
cha 	差	c=1 d=1 t=3434
cha 	插	c=1 d=1 t=8410
cha 	查	c=11 d=1.51077 t=11192
cha bie 	差別	c=0 d=0.1 t=5979
cha bie tai da le 	差別太大了	c=1 d=1 t=5980
cha bu duo 	差不多	c=4 d=0.00558548 t=11992
cha chu lai 	查出來	c=4 d=0.622046 t=10458
cha dao 	查到	c=0 d=0.1 t=217
cha de 	差的	c=2 d=1 t=6421
cha de 	查得	c=2 d=1.52466 t=6570
cha dian 	差點	c=3 d=1 t=8842
cha dian 	查點	c=1 d=1 t=2192
cha dian 	茶點	c=1 d=0.0195457 t=11992
cha jian 	插件	c=2 d=0.254107 t=11992
cha kan 	察看	c=1 d=0.049787 t=11992
cha kan 	查看	c=17 d=0.126007 t=11992
cha ru 	插入	c=7 d=1 t=7876
cha xian ban 	插線板	c=1 d=1 t=6959
cha xun 	查訊	c=1 d=1 t=1533
cha xun 	查詢	c=29 d=2.12472 t=10994
cha yi xia 	查一下	c=2 d=1 t=6070
chai ji 	拆機	c=5 d=1.89584 t=11020
chai qian 	拆遷	c=1 d=1 t=4822
chai zi 	拆字	c=3 d=2.79629 t=1986
chan pin 	產品	c=2 d=1.00509 t=7555
chang 	長	c=2 d=1.01557 t=9955
chang an 	長安	c=8 d=0.0273237 t=11992
chang chang 	長長	c=0 d=0.1 t=10599
chang chang jiu jiu 	長長久久	c=1 d=1 t=10600
chang di 	場地	c=1 d=1 t=6231
chang jian wen ti 	常見問題	c=1 d=1 t=4839
chang jie tu 	長截圖	c=1 d=1 t=9584
chang shang 	廠商	c=9 d=1.00001 t=11033
chang yong 	常用	c=5 d=1 t=4725
chao chu 	超出	c=1 d=1 t=4621
chao de 	抄的	c=1 d=1 t=2299
chao mian 	炒麵	c=1 d=1 t=1912
chao rou si 	炒肉絲	c=1 d=1 t=4786
chao shi 	超市	c=1 d=1 t=8281
chao shou 	抄手	c=2 d=1.97531 t=2624
chao song 	抄送	c=1 d=1 t=933
che 	車	c=1 d=0.292882 t=11992
che bu che 	扯不扯	c=1 d=1 t=8661
che dan 	撤單	c=7 d=1.96815 t=9876
che di 	徹底	c=0 d=0.0117655 t=11992
che di shan chu 	徹底刪除	c=1 d=0.118245 t=11992
che hui 	撤回	c=2 d=0.873716 t=11992
che tui 	撤退	c=1 d=1 t=9388
che xiao 	撤銷	c=22 d=2.87218 t=8122
chen 	陳	c=5 d=1.00061 t=11919
chen hua jun 	陳華軍	c=1 d=1 t=2798
cheng 	成	c=7 d=1.00001 t=10986
cheng 	橙	c=1 d=1 t=8910
cheng 	稱	c=1 d=1 t=11854
cheng gong 	成功	c=2 d=0.100248 t=4568
cheng xu yuan 	程序員	c=1 d=1 t=7100
cheng zhang 	成長	c=0 d=0.1 t=10635
chi 	吃	c=7 d=0.00981168 t=11992
chi bu 	吃不	c=0 d=0.1 t=5260
chi bu guan 	吃不慣	c=1 d=1 t=5261
chi de 	吃得	c=0 d=0.1 t=5255
chi de duo 	吃得多	c=0 d=0.1 t=11269
chi de duo de 	吃得多的	c=1 d=1 t=11270
chi de guan 	吃得慣	c=1 d=1 t=5256
chi de sha 	吃得啥	c=1 d=0.1 t=11234
chi dian 	吃點	c=1 d=1 t=4914
chi fan 	吃飯	c=8 d=1.02802 t=11890
chi fan le 	吃飯了	c=1 d=1 t=535
chi guo 	吃过	c=1 d=1 t=11849
chi le 	吃了	c=3 d=2.00832 t=11992
chi le fan 	吃了飯	c=1 d=1 t=2639
chi le me 	吃了麼	c=1 d=0.822834 t=11992
chi sha 	喫啥	c=5 d=0.100002 t=10852
chi wan 	喫完	c=0 d=0.135523 t=5340
chi wan le 	吃完了	c=1 d=0.0187793 t=11992
chi wan le de 	喫完了的	c=1 d=1 t=5134
chi xu le 	持续了	c=1 d=1 t=11450
chi yu bu chi 	吃於不喫	c=1 d=1 t=4552
chi zao 	遲早	c=1 d=1 t=6141
chong 	衝	c=1 d=1 t=2158
chong 	重	c=1 d=1 t=6598
chong fa 	重發	c=0 d=0.1 t=2059
chong fen 	充份	c=0 d=0.1 t=640
chong fu 	重複	c=4 d=0.100761 t=11992
chong qi 	重啓	c=4 d=1.99005 t=10805
chong qing 	重慶	c=9 d=1.00724 t=8337
chong qing de 	重慶的	c=1 d=1 t=3614
chong xin 	重新	c=10 d=1.41693 t=11845
chong xin zou dan 	重新走單	c=1 d=1 t=4680
chong zhuang 	重裝	c=2 d=0.429971 t=11992
chou yan 	抽菸	c=0 d=0.1 t=5103
chu 	出	c=0 d=0.1 t=7925
chu chai 	出差	c=0 d=0.1 t=4310
chu fa 	出發	c=2 d=1.00444 t=4924
chu fa le mei 	出發了沒	c=1 d=1 t=4302
chu fang 	廚房	c=1 d=1 t=4545
chu fei ni huan le 	出非你換了	c=1 d=1 t=7926
chu kou 	出口	c=1 d=1 t=9488
chu lai 	出來	c=4 d=0.414783 t=11992
chu lai 	初來	c=0 d=0.1 t=624
chu lai de 	出來的	c=2 d=1.0001 t=11032
chu lai ma 	出来吗	c=1 d=1 t=11381
chu le 	除了	c=4 d=1 t=10829
chu li 	處理	c=9 d=0.127837 t=11992
chu li de zen me yang 	處理的怎麼樣	c=1 d=1 t=4376
chu li ge pi 	處理個屁	c=1 d=0.0161635 t=11992
chu li le mei 	處理了沒	c=1 d=1 t=5733
chu li qi 	處理器	c=1 d=1 t=961
chu li ren wu 	處理任務	c=1 d=1 t=1388
chu li wen ti 	處理問題	c=0 d=0.1 t=3121
chu li xia 	處理下	c=2 d=1.90032 t=5744
chu liu 	初六	c=1 d=1 t=3427
chu qu 	出去	c=4 d=0.740819 t=11992
chu shen me 	出什麼	c=1 d=1 t=11806
chu sheng 	出生	c=1 d=1 t=1328
chu shi 	初試	c=1 d=1 t=564
chu xian 	出現	c=1 d=1 t=16
chu xian 	初現	c=0 d=0.1 t=14
chu yu 	處於	c=1 d=1 t=11228
chu zu 	出租	c=1 d=1 t=2021
chuan 	傳	c=10 d=1.001 t=11846
chuan 	穿	c=1 d=0.737124 t=11992
chuan can 	傳參	c=3 d=1.97109 t=3165
chuan ce 	穿測	c=13 d=1.00001 t=10855
chuan ce le ma 	穿測了嗎	c=1 d=1 t=2797
chuan de 	傳得	c=1 d=1 t=5896
chuan de 	穿的	c=1 d=1 t=689
chuan fa 	傳法	c=1 d=1 t=6283
chuan guo lai 	傳過來	c=1 d=1 t=2232
chuan lai 	傳來	c=1 d=1 t=2249
chuan le 	傳了	c=1 d=1 t=7502
chuan le mei 	傳了沒	c=1 d=1 t=4811
chuan ran 	傳染	c=0 d=0.1 t=940
chuan shu 	傳輸	c=1 d=1 t=1728
chuan wan 	傳完	c=1 d=1 t=8741
chuan yi xia 	傳一下	c=1 d=1 t=2890
chuang dan 	牀單	c=1 d=1 t=8919
chuang jian 	創建	c=6 d=1.03571 t=7461
chuang jian ding dan 	創建訂單	c=1 d=1 t=7256
chuang pu 	牀鋪	c=1 d=0.421051 t=11992
chui 	吹	c=2 d=1 t=3747
chui 	鎚	c=1 d=0.68729 t=11992
chui zi 	槌子	c=0 d=0.1 t=6775
chun ji sai 	春季赛	c=1 d=1 t=11628
chun qiu 	春秋	c=0 d=0.1 t=876
chun qiu da ye 	春秋大業	c=1 d=1 t=877
chun tian 	春天	c=1 d=1 t=4420
ci 	次	c=1 d=0.10007 t=11374
ci 	此	c=1 d=0.25538 t=11992
ci chu 	此處	c=1 d=1 t=527
ci fang 	次方	c=1 d=1 t=6353
ci hui 	詞彙	c=1 d=1 t=1919
ci ku 	詞庫	c=7 d=1.07752 t=11992
ci shu 	次數	c=1 d=1 t=10530
ci tiao 	此條	c=1 d=1 t=2788
ci zhuang tai 	此狀態	c=1 d=1 t=2314
ci zu 	詞組	c=1 d=1 t=1072
cong 	從	c=0 d=0.100689 t=3332
cong na 	從那	c=0 d=0.1 t=8371
cong na lai 	從那來	c=1 d=1 t=8372
cong shu ju ku 	從數據庫	c=1 d=1 t=1861
cong wo jia 	從我家	c=1 d=1 t=3333
cong xiao 	從小	c=1 d=0.68045 t=11992
cu 	簇	c=0 d=0.00225956 t=11992
cu liang 	粗糧	c=1 d=1 t=4869
cun 	存	c=4 d=2.92639 t=5228
cun 	寸	c=2 d=1.98511 t=9100
cun chu 	存儲	c=5 d=0.935056 t=11992
cun de xia 	存的下	c=1 d=1 t=2274
cun hao 	存好	c=1 d=1 t=11208
cun le 	存了	c=1 d=1.11702 t=7502
cun le de 	存了的	c=1 d=1 t=7500
cun zai 	存在	c=1 d=1 t=8898
cuo 	錯	c=1 d=0.00156075 t=11992
cuo le 	錯了	c=0 d=0.1 t=11000
cuo wu 	錯誤	c=2 d=1.00512 t=6299
da 	噠	c=1 d=1 t=4465
da 	大	c=3 d=1 t=10271
da 	打	c=1 d=0.0199406 t=11992
da bao 	打包	c=1 d=1 t=6811
da ben shi 	大本事	c=1 d=1 t=3417
da bu dao 	打不到	c=1 d=0.31469 t=11992
da bu dao che 	打不到車	c=1 d=0.311923 t=11992
da bu kai 	打不開	c=1 d=1 t=8961
da bu liao 	大不了	c=1 d=1 t=7081
da che 	打車	c=2 d=0.626967 t=11992
da chu 	打出	c=1 d=1 t=884
da chu lai 	打出來	c=1 d=1 t=661
da cu 	打錯	c=0 d=0.1 t=548
